case_id,case_label,run_tag,mesh_shape,noc_component,memory_kind,memory_model_family,status,mapping_policy,mapping_score,same_home_stack_ratio,vertical_target_ratio,vertical_hops_ratio,remote_home_ratio,route_memory_overlap,vertical_link_pressure,thermal_hotspot_score,stack_hotspot_penalty,vertical_bandwidth_budget,tsv_miv_budget_pressure,power_density_score,reliability_penalty,runtime_policy,runtime_signal_source,thermal_state_source,remap_epoch,homeroute_adjustment_count,thermal_guard_actions,peak_temperature_c,avg_temperature_c,vertical_gradient_c,hotspot_block_count,hotspot_layer_count,thermal_replay_sample_count,hotspot_driver_status,hotspot_model_type,hotspot_temperature_source,hotspot_peak_temperature_c,hotspot_avg_temperature_c,hotspot_peak_delta_c,hotspot_avg_delta_c,hotspot_block_delta,hotspot_layer_delta,memory_requests_total,tx_packets_total,rx_packets_total,memory_probe_rows_total
full_3d_snn_window,Full 3D + SNN Window Direct,task_real_snn_window_semantic_runtime_v8_ablation_2us,4x4x2,SnnDL.MulticastRouter3DNative,hbm_like,hbm_like,smoke_passed,3d_aware,0.0234375,0.90625,0.40625,0.4153846153846154,0.5,0.75,0.4310576923076923,1.2076923076923076,0.21538461538461529,2.0,0.3030874399038462,1.860310650887574,0.5538378848465237,disabled,disabled,disabled,0,0,0,0.0,0.0,0.0,0,0,0,disabled,,,0.0,0.0,0.0,0.0,0,0,260,0,0,4
full_3d_snn_window_bundle_v3,Full 3D + SNN Window Bundle v3,task_real_snn_window_bundle_v8_ablation_2us,4x4x2,SnnDL.MulticastRouter3DNative,hbm_like,hbm_like,smoke_passed,3d_aware,0.0234375,0.90625,0.40625,0.43577981651376146,0.5,0.75,0.43411697247706427,1.2178899082568808,0.10091743119266061,2.0,0.3052384962729358,1.7790864550016836,0.5184700777008724,disabled,disabled,disabled,0,0,0,0.0,0.0,0.0,0,0,0,disabled,,,0.0,0.0,0.0,0.0,0,0,872,0,0,4
