matrix_group,compare_kind,run_tag,row_family,base_case_id,compare_case_id,progression_signature,window_route_anchor_axis,runtime_compare_anchor_axis,dominant_endpoint_pressure_side,pe_nic_pressure_score,synapse_pressure_score,dominant_memory_axis,dominant_memory_axis_raw_value,dominant_memory_axis_score,dominant_backlog_region,dominant_home_access_class,base_memory_pressure_proxy_source,compare_memory_pressure_proxy_source,memory_pressure_proxy_source_transition,base_most_pressured_controller_backpressure_proxy,compare_most_pressured_controller_backpressure_proxy,most_pressured_controller_backpressure_proxy_delta,base_most_pressured_controller_memory_pressure_proxy,compare_most_pressured_controller_memory_pressure_proxy,most_pressured_controller_memory_pressure_proxy_delta,controller_pressure_narrative,dataflow_controller_alignment_transition,same_controller_overlap_delta,same_stack_overlap_delta,joint_interpretation
,traffic_mem_bundle_vs_direct,task4_window_stop_runtime_closure_mainline,route_memory_joint_pressure,full_3d,full_3d_tile_bundle_v3,controller_outstanding -> stable_or_zero -> thermal_guard_actions,controller_outstanding,thermal_guard_actions,unavailable,0,0,unavailable,0.0,0.0,unavailable,,,,,0.0,0.0,0.0,0.0,0.0,0.0,"secondary controller pressure (source=unavailable, backpressure-delta=0.000, composite-delta=0.000)",stable,0,0,"traffic_mem_bundle_vs_direct is dominated by unavailable endpoint pressure, unavailable on the memory side, backlog centered on unavailable, home-access=unavailable, controller-pressure=secondary controller pressure (source=unavailable, backpressure-delta=0.000, composite-delta=0.000), and same-controller overlap stays flat."
,traffic_mem_monolithic_vs_hbm,task4_window_stop_runtime_closure_mainline,route_memory_joint_pressure,full_3d,full_3d_monolithic_proxy,controller_outstanding -> stable_or_zero -> thermal_guard_actions,controller_outstanding,thermal_guard_actions,unavailable,0,0,reliability_penalty,0.3107142857142858,3107.142857142858,unavailable,,,,,0.0,0.0,0.0,0.0,0.0,0.0,"secondary controller pressure (source=unavailable, backpressure-delta=0.000, composite-delta=0.000)",stable,0,0,"traffic_mem_monolithic_vs_hbm is dominated by unavailable endpoint pressure, reliability_penalty on the memory side, backlog centered on unavailable, home-access=unavailable, controller-pressure=secondary controller pressure (source=unavailable, backpressure-delta=0.000, composite-delta=0.000), and same-controller overlap stays flat."
