stop_at,stop_at_ns,direct_stream_region_backlog,bundle_stream_region_backlog,stream_region_backlog_delta,direct_total_service_deficit,bundle_total_service_deficit,total_service_deficit_delta,direct_run_tag,bundle_run_tag
2us,2000,0,8,8,0,8,8,task_real_snn_window_direct_tail_sweep_v1_2us,task_real_snn_window_bundle_tail_sweep_v1_2us
5us,5000,0,0,0,0,0,0,task_real_snn_window_direct_tail_sweep_v1_5us,task_real_snn_window_bundle_tail_sweep_v1_5us
10us,10000,0,0,0,0,0,0,task_real_snn_window_direct_tail_sweep_v1_10us,task_real_snn_window_bundle_tail_sweep_v1_10us
