case_id,case_label,run_tag,memory_model_family,memory_graph_type,dominant_home_access_class,dominant_home_stack_id,tier_local_home_total_demands,same_xy_cross_tier_total_demands,remote_home_total_demands,tier_local_home_service_deficit_attribution,same_xy_cross_tier_service_deficit_attribution,remote_home_service_deficit_attribution,active_stack_utilization,most_pressured_stack_id,most_pressured_stack_service_deficit,most_pressured_controller_service_deficit_proxy,stack_memory_request_skew,stack_service_deficit_skew,memory_requests_total,vertical_hops_ratio,remote_home_ratio
full_3d,Full 3D,perf_20us_route_refresh_v2,hbm_like,memHierarchy_shared_stack,remote_home,-1,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,58560,0.42134562841530054,0.5
full_3d_monolithic_proxy,Full 3D + Monolithic Proxy,perf_20us,monolithic_like,memHierarchy_tier_local_stack,same_xy_cross_tier,-1,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,159744,0.0,0.0
