seq,event,acc_updates,posts_touched,hwm_bytes,spill_records,spilled_bytes,spikes_emitted
10,EndScatter,0,0,0,0,0,0
7,EndApply,0,0,0,0,0,0
9,EndScatter,0,0,0,0,0,0
6,BeginApply,0,0,0,0,0,0
7,BeginApply,0,0,0,0,0,0
6,EndApply,0,0,0,0,0,0
8,BeginApply,0,0,0,0,0,0
7,EndScatter,0,0,0,0,0,0
6,EndApply,0,0,0,0,0,0
7,EndApply,0,0,0,0,0,0
6,EndScatter,0,0,0,0,0,0
8,EndApply,0,0,0,0,0,0
6,BeginApply,0,0,0,0,0,0
10,BeginApply,0,0,0,0,0,0
9,BeginApply,0,0,0,0,0,0
6,EndScatter,0,0,0,0,0,0
7,EndScatter,0,0,0,0,0,0
8,EndScatter,0,0,0,0,0,0
6,EndApply,0,0,0,0,0,0
10,EndApply,0,0,0,0,0,0
6,BeginApply,0,0,0,0,0,0
9,EndApply,0,0,0,0,0,0
7,BeginApply,0,0,0,0,0,0
9,BeginApply,0,0,0,0,0,0
6,EndScatter,0,0,0,0,0,0
10,EndScatter,0,0,0,0,0,0
6,EndApply,0,0,0,0,0,0
9,EndScatter,0,0,0,0,0,0
7,EndApply,0,0,0,0,0,0
9,EndApply,0,0,0,0,0,0
7,BeginApply,0,0,0,0,0,0
7,BeginApply,0,0,0,0,0,0
8,BeginApply,0,0,0,0,0,0
11,BeginApply,0,0,0,0,0,0
10,BeginApply,0,0,0,0,0,0
6,EndScatter,0,0,0,0,0,0
7,EndScatter,0,0,0,0,0,0
9,EndScatter,0,0,0,0,0,0
7,EndApply,0,0,0,0,0,0
7,EndApply,0,0,0,0,0,0
8,EndApply,0,0,0,0,0,0
11,EndApply,0,0,0,0,0,0
8,BeginApply,0,0,0,0,0,0
10,EndApply,0,0,0,0,0,0
7,EndScatter,0,0,0,0,0,0
7,BeginApply,0,0,0,0,0,0
7,EndScatter,0,0,0,0,0,0
8,EndScatter,0,0,0,0,0,0
11,EndScatter,0,0,0,0,0,0
8,EndApply,0,0,0,0,0,0
10,EndScatter,0,0,0,0,0,0
7,BeginApply,0,0,0,0,0,0
8,BeginApply,0,0,0,0,0,0
7,EndApply,0,0,0,0,0,0
9,BeginApply,0,0,0,0,0,0
8,EndScatter,0,0,0,0,0,0
8,EndApply,0,0,0,0,0,0
7,EndScatter,0,0,0,0,0,0
9,EndApply,0,0,0,0,0,0
7,BeginApply,0,0,0,0,0,0
11,BeginApply,0,0,0,0,0,0
10,BeginApply,0,0,0,0,0,0
8,EndScatter,0,0,0,0,0,0
9,EndScatter,0,0,0,0,0,0
7,EndApply,0,0,0,0,0,0
7,BeginApply,0,0,0,0,0,0
10,EndApply,0,0,0,0,0,0
8,BeginApply,0,0,0,0,0,0
10,BeginApply,0,0,0,0,0,0
7,EndScatter,0,0,0,0,0,0
7,EndApply,0,0,0,0,0,0
7,EndApply,0,0,0,0,0,0
10,EndScatter,0,0,0,0,0,0
8,EndApply,0,0,0,0,0,0
11,EndApply,0,0,0,0,0,0
8,BeginApply,0,0,0,0,0,0
8,BeginApply,0,0,0,0,0,0
9,BeginApply,0,0,0,0,0,0
12,BeginApply,0,0,0,0,0,0
7,EndScatter,0,0,0,0,0,0
11,BeginApply,0,0,0,0,0,0
7,EndScatter,0,0,0,0,0,0
8,EndScatter,0,0,0,0,0,0
11,EndScatter,0,0,0,0,0,0
8,EndApply,0,0,0,0,0,0
8,EndApply,0,0,0,0,0,0
9,EndApply,0,0,0,0,0,0
12,EndApply,0,0,0,0,0,0
10,EndApply,0,0,0,0,0,0
9,BeginApply,0,0,0,0,0,0
11,EndApply,1536,2,32,0,0,0
11,BeginScatter,1536,2,32,0,0,0
8,EndScatter,0,0,0,0,0,0
8,BeginApply,0,0,0,0,0,0
8,EndScatter,0,0,0,0,0,0
9,EndScatter,0,0,0,0,0,0
12,EndScatter,0,0,0,0,0,0
10,EndScatter,0,0,0,0,0,0
9,EndApply,1536,3,48,0,0,0
9,BeginScatter,1536,3,48,0,0,0
11,EndScatter,1536,2,32,0,0,0
9,BeginApply,0,0,0,0,0,0
8,EndApply,0,0,0,0,0,0
10,BeginApply,0,0,0,0,0,0
9,EndScatter,1536,3,48,0,0,0
9,EndApply,0,0,0,0,0,0
8,EndScatter,0,0,0,0,0,0
10,EndApply,0,0,0,0,0,0
8,BeginApply,0,0,0,0,0,0
11,BeginApply,0,0,0,0,0,0
9,EndScatter,0,0,0,0,0,0
10,EndScatter,0,0,0,0,0,0
8,EndApply,0,0,0,0,0,0
8,BeginApply,0,0,0,0,0,0
8,BeginApply,0,0,0,0,0,0
11,EndApply,0,0,0,0,0,0
9,BeginApply,0,0,0,0,0,0
12,BeginApply,0,0,0,0,0,0
8,EndScatter,0,0,0,0,0,0
8,EndApply,0,0,0,0,0,0
8,EndApply,0,0,0,0,0,0
11,EndScatter,0,0,0,0,0,0
9,EndApply,0,0,0,0,0,0
12,EndApply,0,0,0,0,0,0
9,BeginApply,0,0,0,0,0,0
9,BeginApply,0,0,0,0,0,0
10,BeginApply,0,0,0,0,0,0
13,BeginApply,0,0,0,0,0,0
8,EndScatter,0,0,0,0,0,0
11,BeginApply,0,0,0,0,0,0
12,BeginApply,0,0,0,0,0,0
8,EndScatter,0,0,0,0,0,0
9,EndScatter,0,0,0,0,0,0
12,EndScatter,0,0,0,0,0,0
9,EndApply,0,0,0,0,0,0
9,EndApply,0,0,0,0,0,0
10,EndApply,0,0,0,0,0,0
13,EndApply,0,0,0,0,0,0
11,EndApply,0,0,0,0,0,0
10,BeginApply,0,0,0,0,0,0
12,EndApply,0,0,0,0,0,0
9,EndScatter,0,0,0,0,0,0
9,BeginApply,0,0,0,0,0,0
9,EndScatter,0,0,0,0,0,0
10,EndScatter,0,0,0,0,0,0
13,EndScatter,0,0,0,0,0,0
11,EndScatter,0,0,0,0,0,0
10,EndApply,0,0,0,0,0,0
12,EndScatter,0,0,0,0,0,0
10,BeginApply,0,0,0,0,0,0
9,EndApply,0,0,0,0,0,0
11,BeginApply,0,0,0,0,0,0
10,EndScatter,0,0,0,0,0,0
10,EndApply,0,0,0,0,0,0
9,EndScatter,0,0,0,0,0,0
11,EndApply,0,0,0,0,0,0
9,BeginApply,0,0,0,0,0,0
12,BeginApply,0,0,0,0,0,0
10,EndScatter,0,0,0,0,0,0
11,EndScatter,0,0,0,0,0,0
9,EndApply,0,0,0,0,0,0
9,BeginApply,0,0,0,0,0,0
9,BeginApply,0,0,0,0,0,0
12,EndApply,0,0,0,0,0,0
10,BeginApply,0,0,0,0,0,0
13,BeginApply,0,0,0,0,0,0
9,EndScatter,0,0,0,0,0,0
9,EndApply,0,0,0,0,0,0
9,EndApply,0,0,0,0,0,0
12,EndScatter,0,0,0,0,0,0
10,EndApply,0,0,0,0,0,0
13,EndApply,0,0,0,0,0,0
10,BeginApply,0,0,0,0,0,0
10,BeginApply,0,0,0,0,0,0
11,BeginApply,0,0,0,0,0,0
14,BeginApply,0,0,0,0,0,0
9,EndScatter,0,0,0,0,0,0
12,BeginApply,0,0,0,0,0,0
13,BeginApply,0,0,0,0,0,0
9,EndScatter,0,0,0,0,0,0
10,EndScatter,0,0,0,0,0,0
13,EndScatter,0,0,0,0,0,0
10,EndApply,0,0,0,0,0,0
10,EndApply,0,0,0,0,0,0
11,EndApply,0,0,0,0,0,0
14,EndApply,0,0,0,0,0,0
12,EndApply,0,0,0,0,0,0
11,BeginApply,0,0,0,0,0,0
13,EndApply,0,0,0,0,0,0
10,EndScatter,0,0,0,0,0,0
10,BeginApply,0,0,0,0,0,0
10,EndScatter,0,0,0,0,0,0
11,EndScatter,0,0,0,0,0,0
14,EndScatter,0,0,0,0,0,0
12,EndScatter,0,0,0,0,0,0
11,EndApply,0,0,0,0,0,0
13,EndScatter,0,0,0,0,0,0
