matrix_group,compare_kind,run_tag,row_family,base_case_id,compare_case_id,progression_signature,window_route_anchor_axis,runtime_compare_anchor_axis,dominant_endpoint_pressure_side,pe_nic_pressure_score,synapse_pressure_score,dominant_memory_axis,dominant_memory_axis_raw_value,dominant_memory_axis_score,dominant_backlog_region,dominant_home_access_class,compare_route_memory_overlap_mode,route_memory_overlap_mode_transition,compare_route_overlap_actionable,route_native_synapse_overlap_ratio_delta,base_route_source_primary_kind,compare_route_source_primary_kind,route_source_primary_kind_transition,base_route_native_synapse_overlap_ratio,compare_route_native_synapse_overlap_ratio,base_memory_pressure_proxy_source,compare_memory_pressure_proxy_source,memory_pressure_proxy_source_transition,base_most_pressured_controller_backpressure_proxy,compare_most_pressured_controller_backpressure_proxy,most_pressured_controller_backpressure_proxy_delta,base_most_pressured_controller_memory_pressure_proxy,compare_most_pressured_controller_memory_pressure_proxy,most_pressured_controller_memory_pressure_proxy_delta,controller_pressure_narrative,dataflow_controller_alignment_transition,same_controller_overlap_delta,same_stack_overlap_delta,joint_interpretation,base_source_authority_tier,compare_source_authority_tier,source_authority_tier_transition
,traffic_mem_bundle_vs_direct,window_runtime_codesign_refresh_20260402_rerun,route_memory_joint_pressure,full_3d,full_3d_tile_bundle_v3,controller_outstanding -> controller_outstanding -> memory_barrier_coupling_proxy,controller_outstanding,memory_barrier_coupling_proxy,pe_nic,5009,3008,controller_service_deficit_proxy,340.5,40860.0,stream_region,same_xy_cross_tier,bootstrap_bound,bootstrap_bound->bootstrap_bound,False,0.0,edges_csv_bootstrap,edges_csv_bootstrap,edges_csv_bootstrap->edges_csv_bootstrap,0.0,0.0,service_deficit,service_deficit,service_deficit->service_deficit,42.081,42.28,0.19899999999999807,99.25,439.75,340.5,"controller service-deficit proxy (source=service_deficit->service_deficit, backpressure-delta=0.199, composite-delta=340.500)",stable,0,0,"traffic_mem_bundle_vs_direct is dominated by pe_nic endpoint pressure, controller_service_deficit_proxy on the memory side, backlog centered on stream_region, home-access=same_xy_cross_tier, controller-pressure=controller service-deficit proxy (source=service_deficit->service_deficit, backpressure-delta=0.199, composite-delta=340.500), route-semantics=bootstrap_bound via bootstrap_bound->bootstrap_bound, observe-only, and same-controller overlap stays flat.",bootstrap_manifest,bootstrap_manifest,bootstrap_manifest->bootstrap_manifest
,traffic_mem_monolithic_vs_hbm,window_runtime_codesign_refresh_20260402_rerun,route_memory_joint_pressure,full_3d,full_3d_monolithic_proxy,controller_outstanding -> controller_outstanding -> memory_barrier_coupling_proxy,controller_outstanding,memory_barrier_coupling_proxy,pe_nic,47541,46899,controller_memory_pressure_proxy,97.0605,14559.075,unavailable,same_xy_cross_tier,bootstrap_bound,bootstrap_bound->bootstrap_bound,False,0.0,edges_csv_bootstrap,edges_csv_bootstrap,edges_csv_bootstrap->edges_csv_bootstrap,0.0,0.0,service_deficit,backpressure,service_deficit->backpressure,42.081,2.1895,-39.8915,99.25,2.1895,-97.0605,"backpressure-backed composite (source=service_deficit->backpressure, backpressure-delta=-39.892, composite-delta=-97.061)",alignment_improved,0,0,"traffic_mem_monolithic_vs_hbm is dominated by pe_nic endpoint pressure, controller_memory_pressure_proxy on the memory side, backlog centered on unavailable, home-access=same_xy_cross_tier, controller-pressure=backpressure-backed composite (source=service_deficit->backpressure, backpressure-delta=-39.892, composite-delta=-97.061), route-semantics=bootstrap_bound via bootstrap_bound->bootstrap_bound, observe-only, and same-controller overlap stays flat.",bootstrap_manifest,bootstrap_manifest,bootstrap_manifest->bootstrap_manifest
