window_id,payload_bytes,bursts,inflight_peak,buffer_max_bytes
1,0,0,1,0
1,0,0,1,0
1,0,0,1,0
1,0,0,1,0
1,0,0,1,0
1,0,0,1,0
1,0,0,1,0
1,0,0,1,0
1,0,0,1,0
1,0,0,1,0
1,0,0,1,0
1,0,0,1,0
1,0,0,1,0
1,0,0,1,0
1,0,0,1,0
1,0,0,1,0
1,0,0,1,0
1,0,0,1,0
1,0,0,1,0
1,0,0,1,0
2,0,0,1,0
2,0,0,1,0
2,0,0,1,0
2,0,0,1,0
2,0,0,1,0
2,0,0,1,0
2,0,0,1,0
2,0,0,1,0
2,0,0,1,0
2,0,0,1,0
2,0,0,1,0
2,0,0,1,0
2,0,0,1,0
2,0,0,1,0
2,0,0,1,0
2,0,0,1,0
2,0,0,1,0
2,0,0,1,0
2,0,0,1,0
2,0,0,1,0
3,0,0,1,0
3,0,0,1,0
3,0,0,1,0
3,0,0,1,0
3,0,0,1,0
3,0,0,1,0
3,0,0,1,0
3,0,0,1,0
3,0,0,1,0
3,0,0,1,0
3,0,0,1,0
3,0,0,1,0
3,0,0,1,0
3,0,0,1,0
3,0,0,1,0
3,0,0,1,0
3,0,0,1,0
3,0,0,1,0
3,0,0,1,0
3,0,0,1,0
4,0,0,1,0
4,0,0,1,0
4,0,0,1,0
4,0,0,1,0
4,0,0,1,0
4,0,0,1,0
4,0,0,1,0
4,0,0,1,0
4,0,0,1,0
4,0,0,1,0
4,0,0,1,0
4,0,0,1,0
4,0,0,1,0
4,0,0,1,0
4,0,0,1,0
4,0,0,1,0
4,0,0,1,0
4,0,0,1,0
4,0,0,1,0
4,0,0,1,0
5,0,0,1,0
5,0,0,1,0
5,0,0,1,0
5,0,0,1,0
5,0,0,1,0
5,0,0,1,0
5,0,0,1,0
5,0,0,1,0
5,0,0,1,0
5,0,0,1,0
5,0,0,1,0
5,0,0,1,0
5,0,0,1,0
5,0,0,1,0
5,0,0,1,0
5,0,0,1,0
5,0,0,1,0
5,0,0,1,0
5,0,0,1,0
5,0,0,1,0
6,0,0,1,0
6,0,0,1,0
6,0,0,1,0
6,0,0,1,0
6,0,0,1,0
6,0,0,1,0
6,0,0,1,0
6,0,0,1,0
6,0,0,1,0
6,0,0,1,0
6,0,0,1,0
6,0,0,1,0
6,0,0,1,0
6,0,0,1,0
6,0,0,1,0
6,0,0,1,0
6,0,0,1,0
6,0,0,1,0
6,0,0,1,0
6,0,0,1,0
7,0,0,1,0
7,0,0,1,0
7,0,0,1,0
7,0,0,1,0
7,0,0,1,0
7,0,0,1,0
7,0,0,1,0
7,0,0,1,0
7,0,0,1,0
7,0,0,1,0
7,0,0,1,0
7,0,0,1,0
7,0,0,1,0
7,0,0,1,0
7,0,0,1,0
7,0,0,1,0
7,0,0,1,0
7,0,0,1,0
7,0,0,1,0
7,0,0,1,0
8,0,0,1,0
8,0,0,1,0
8,0,0,1,0
8,0,0,1,0
8,0,0,1,0
8,0,0,1,0
8,0,0,1,0
8,0,0,1,0
8,0,0,1,0
8,0,0,1,0
8,0,0,1,0
8,0,0,1,0
8,0,0,1,0
8,0,0,1,0
8,0,0,1,0
8,0,0,1,0
8,0,0,1,0
8,0,0,1,0
8,0,0,1,0
8,0,0,1,0
9,0,0,1,0
9,0,0,1,0
9,0,0,1,0
9,0,0,1,0
9,0,0,1,0
9,0,0,1,0
9,0,0,1,0
9,0,0,1,0
9,0,0,1,0
9,0,0,1,0
9,0,0,1,0
9,0,0,1,0
9,0,0,1,0
9,0,0,1,0
9,0,0,1,0
9,0,0,1,0
9,0,0,1,0
9,0,0,1,0
9,0,0,1,0
9,0,0,1,0
10,0,0,1,0
10,0,0,1,0
10,0,0,1,0
10,0,0,1,0
10,0,0,1,0
10,0,0,1,0
10,0,0,1,0
10,0,0,1,0
10,0,0,1,0
10,0,0,1,0
10,0,0,1,0
10,0,0,1,0
10,0,0,1,0
10,0,0,1,0
10,0,0,1,0
10,0,0,1,0
10,0,0,1,0
10,0,0,1,0
10,0,0,1,0
10,0,0,1,0
11,0,0,1,0
11,0,0,1,0
11,0,0,1,0
11,0,0,1,0
11,0,0,1,0
11,0,0,1,0
11,0,0,1,0
11,0,0,1,0
11,0,0,1,0
11,0,0,1,0
11,0,0,1,0
11,0,0,1,0
11,0,0,1,0
11,0,0,1,0
11,0,0,1,0
11,0,0,1,0
11,0,0,1,0
11,0,0,1,0
11,0,0,1,0
11,0,0,1,0
12,0,0,25,0
12,0,0,24,0
12,0,0,25,0
12,0,0,24,0
12,0,0,25,0
12,0,0,25,0
12,0,0,24,0
12,0,0,24,0
12,0,0,24,0
12,0,0,24,0
12,0,0,24,0
12,0,0,24,0
12,0,0,24,0
12,0,0,23,0
12,0,0,21,0
12,0,0,25,0
12,0,0,25,0
12,0,0,23,0
12,0,0,24,0
12,0,0,23,0
13,0,0,25,0
13,0,0,24,0
13,0,0,25,0
13,0,0,24,0
13,0,0,25,0
13,0,0,25,0
13,0,0,24,0
13,0,0,24,0
13,0,0,24,0
13,0,0,24,0
13,0,0,24,0
13,0,0,24,0
13,0,0,24,0
13,0,0,23,0
13,0,0,21,0
13,0,0,25,0
13,0,0,25,0
13,0,0,23,0
13,0,0,24,0
13,0,0,23,0
14,0,0,25,0
14,0,0,24,0
14,0,0,25,0
14,0,0,24,0
14,0,0,25,0
14,0,0,25,0
14,0,0,24,0
14,0,0,24,0
14,0,0,24,0
14,0,0,24,0
14,0,0,24,0
14,0,0,24,0
14,0,0,24,0
14,0,0,23,0
14,0,0,21,0
14,0,0,25,0
14,0,0,25,0
14,0,0,23,0
14,0,0,24,0
14,0,0,23,0
15,0,0,25,0
15,0,0,24,0
15,0,0,25,0
15,0,0,24,0
15,0,0,25,0
15,0,0,25,0
15,0,0,24,0
15,0,0,24,0
15,0,0,24,0
15,0,0,24,0
15,0,0,24,0
15,0,0,24,0
15,0,0,24,0
15,0,0,23,0
15,0,0,21,0
15,0,0,25,0
15,0,0,25,0
15,0,0,23,0
15,0,0,24,0
15,0,0,23,0
16,0,0,25,0
16,0,0,24,0
16,0,0,25,0
16,0,0,24,0
16,0,0,25,0
16,0,0,25,0
16,0,0,24,0
16,0,0,24,0
16,0,0,24,0
16,0,0,24,0
16,0,0,24,0
16,0,0,24,0
16,0,0,24,0
16,0,0,23,0
16,0,0,21,0
16,0,0,25,0
16,0,0,25,0
16,0,0,23,0
16,0,0,24,0
16,0,0,23,0
17,0,0,25,0
17,0,0,24,0
17,0,0,25,0
17,0,0,24,0
17,0,0,25,0
17,0,0,25,0
17,0,0,24,0
17,0,0,24,0
17,0,0,24,0
17,0,0,24,0
17,0,0,24,0
17,0,0,24,0
17,0,0,24,0
17,0,0,23,0
17,0,0,21,0
17,0,0,25,0
17,0,0,25,0
17,0,0,23,0
17,0,0,24,0
17,0,0,23,0
18,0,0,25,0
18,0,0,24,0
18,0,0,25,0
18,0,0,24,0
18,0,0,25,0
18,0,0,25,0
18,0,0,24,0
18,0,0,24,0
18,0,0,24,0
18,0,0,24,0
18,0,0,24,0
18,0,0,24,0
18,0,0,24,0
18,0,0,23,0
18,0,0,21,0
18,0,0,25,0
18,0,0,25,0
18,0,0,23,0
18,0,0,24,0
18,0,0,23,0
19,0,0,25,0
19,0,0,24,0
19,0,0,25,0
19,0,0,24,0
19,0,0,25,0
19,0,0,25,0
19,0,0,24,0
19,0,0,24,0
19,0,0,24,0
19,0,0,24,0
19,0,0,24,0
19,0,0,24,0
19,0,0,24,0
19,0,0,23,0
19,0,0,21,0
19,0,0,25,0
19,0,0,25,0
19,0,0,23,0
19,0,0,24,0
19,0,0,23,0
20,0,0,25,0
20,0,0,24,0
20,0,0,25,0
20,0,0,24,0
20,0,0,25,0
20,0,0,25,0
20,0,0,24,0
20,0,0,24,0
20,0,0,24,0
20,0,0,24,0
20,0,0,24,0
20,0,0,24,0
20,0,0,24,0
20,0,0,23,0
