case_id,run_tag,runtime_enabled,control_mode,case_role,hotspot_driver_status,hotspot_temperature_source,runtime_state_source,thermal_input_source_kind,runtime_peak_temperature_c,hotspot_peak_temperature_c,hotspot_peak_delta_c,runtime_avg_temperature_c,hotspot_avg_temperature_c,hotspot_avg_delta_c,runtime_hotspot_block_count,hotspot_block_count,hotspot_block_delta,runtime_hotspot_layer_count,hotspot_layer_count,hotspot_layer_delta
full_3d,hotspot_real_phase6_multicase_20260320_174519,False,observe_only,calibration_only,ran,hotspot_steady_temp,online_rc_estimator,,47.765124,45.05000000000001,2.7151239999999888,45.151608906250004,45.015937500000085,0.13567140624991936,96,0,96,2,0,2
full_3d_mapping,hotspot_real_phase6_multicase_20260320_174519,False,observe_only,calibration_only,ran,hotspot_steady_temp,online_rc_estimator,,47.765124,45.05000000000001,2.7151239999999888,45.151608906250004,45.015937500000085,0.13567140624991936,96,0,96,2,0,2
full_3d_runtime_adaptive,hotspot_real_phase6_multicase_20260320_174519,True,adaptive_control,calibration_only,ran,hotspot_steady_temp,online_rc_estimator,,47.765124,45.05000000000001,2.7151239999999888,45.151608906250004,45.015937500000085,0.13567140624991936,96,0,96,2,0,2
full_3d_thermal_guard,hotspot_real_phase6_multicase_20260320_174519,False,observe_only,calibration_only,ran,hotspot_steady_temp,online_rc_estimator,,47.765124,45.05000000000001,2.7151239999999888,45.151608906250004,45.015937500000085,0.13567140624991936,96,0,96,2,0,2
