run_tag,step_budget,stop_at,spike_budget_label,base_case_id,compare_case_id,base_test_max_spikes,compare_test_max_spikes,memory_requests_total_delta,memory_requests_total_amplification_ratio,memory_requests_total_delta_ratio,memory_requests_per_completed_step_delta,memory_requests_per_completed_step_amplification_ratio,memory_requests_per_completed_step_delta_ratio,stall_on_step_gate_cycles_total_delta,stall_on_step_gate_cycles_total_amplification_ratio,stall_on_step_gate_cycles_total_delta_ratio,stall_on_step_gate_cycles_per_completed_step_delta,stall_on_step_gate_cycles_per_completed_step_amplification_ratio,stall_on_step_gate_cycles_per_completed_step_delta_ratio,synapse_gather_demands_delta,synapse_gather_demands_amplification_ratio,synapse_gather_demands_delta_ratio,stream_region_demands_delta,stream_region_demands_amplification_ratio,stream_region_demands_delta_ratio,writeback_region_demands_delta,writeback_region_demands_amplification_ratio,writeback_region_demands_delta_ratio,router_bundle_v3_rx_total_delta,router_bundle_v3_rx_total_amplification_ratio,router_bundle_v3_rx_total_delta_ratio,tx_bundle_v3_packets_total_delta,tx_bundle_v3_packets_total_amplification_ratio,tx_bundle_v3_packets_total_delta_ratio,tx_spikekey_v4_packets_total_delta,tx_spikekey_v4_packets_total_amplification_ratio,tx_spikekey_v4_packets_total_delta_ratio,gas_scatter_spikes_emitted_total_delta,gas_scatter_spikes_emitted_total_amplification_ratio,gas_scatter_spikes_emitted_total_delta_ratio
task_fixed_step_4_10us,4,10us,default,full_3d_snn_window,full_3d_snn_window_bundle_v3,8,8,604,2.451923076923077,1.4519230769230769,151.0,2.451923076923077,1.4519230769230769,508,1.0047934476966918,0.004793447696691766,127.0,1.0047934476966918,0.004793447696691766,212,4.3125,3.3125,148,2.15625,1.15625,48,2.0,1.0,258,,,88,,,-364,0.0,-1.0,48,2.0,1.0
task_fixed_step_4_10us_sp64,4,10us,sp64,full_3d_snn_window,full_3d_snn_window_bundle_v3,64,64,864,3.076923076923077,2.076923076923077,216.0,3.076923076923077,2.076923076923077,19811,1.186935024250316,0.1869350242503161,4952.75,1.186935024250316,0.1869350242503161,256,5.0,4.0,216,2.6875,1.6875,88,2.8333333333333335,1.8333333333333333,1543,,,546,,,-2492,0.0,-1.0,88,2.8333333333333335,1.8333333333333333
task_fixed_step_8_20us,8,20us,default,full_3d_snn_window,full_3d_snn_window_bundle_v3,8,8,604,2.451923076923077,1.4519230769230769,75.5,2.451923076923077,1.4519230769230769,-31888,0.7699776383178244,-0.23002236168217557,-3986.0,0.7699776383178244,-0.23002236168217557,212,4.3125,3.3125,148,2.15625,1.15625,48,2.0,1.0,258,,,88,,,-364,0.0,-1.0,48,2.0,1.0
task_fixed_step_8_20us_sp64,8,20us,sp64,full_3d_snn_window,full_3d_snn_window_bundle_v3,64,64,888,3.1346153846153846,2.1346153846153846,111.0,3.1346153846153846,2.1346153846153846,39391,1.2841448459929308,0.28414484599293083,4923.875,1.2841448459929308,0.28414484599293083,280,5.375,4.375,216,2.6875,1.6875,88,2.8333333333333335,1.8333333333333333,1543,,,546,,,-2492,0.0,-1.0,88,2.8333333333333335,1.8333333333333333
task_fixed_step_16_40us,16,40us,default,full_3d_snn_window,full_3d_snn_window_bundle_v3,8,8,604,2.451923076923077,1.4519230769230769,37.75,2.451923076923077,1.4519230769230769,-31888,0.7708240502508229,-0.2291759497491771,-1993.0,0.7708240502508229,-0.2291759497491771,212,4.3125,3.3125,148,2.15625,1.15625,48,2.0,1.0,258,,,88,,,-364,0.0,-1.0,48,2.0,1.0
task_fixed_step_16_40us_sp64,16,40us,sp64,full_3d_snn_window,full_3d_snn_window_bundle_v3,64,64,888,3.1346153846153846,2.1346153846153846,55.5,3.1346153846153846,2.1346153846153846,39391,1.2830992798723606,0.2830992798723606,2461.9375,1.2830992798723606,0.2830992798723606,280,5.375,4.375,216,2.6875,1.6875,88,2.8333333333333335,1.8333333333333333,1543,,,546,,,-2492,0.0,-1.0,88,2.8333333333333335,1.8333333333333333
