stop_at,run_tag,status,memory_requests_total,stream_region_demands,stream_region_issued,stream_region_backlog,stream_region_issue_efficiency,writeback_region_demands,writeback_region_issued,writeback_region_backlog,writeback_region_issue_efficiency,total_service_deficit,most_pressured_region,stream_region_bytes_written_total,stream_region_bytes_read_total,writeback_region_bytes_written_total,writeback_region_bytes_read_total
2us,controller_runtime_refresh_20260322_bundle_stop_sweep_2us,smoke_passed,912,256,248,8,0.96875,96,96,0,1.0,8,stream_region,15872,13184,6144,5504
10us,controller_runtime_refresh_20260322_bundle_stop_sweep_10us,smoke_passed,1020,276,276,0,1.0,96,96,0,1.0,0,metadata_lookup,17664,17664,6144,6144
20us,controller_runtime_refresh_20260322_bundle_stop_sweep_20us,smoke_passed,1020,276,276,0,1.0,96,96,0,1.0,0,metadata_lookup,17664,17664,6144,6144
