step_budget,stop_at,case_id,case_label,base_run_tag,compare_run_tag,base_spike_budget_label,compare_spike_budget_label,base_test_max_spikes,compare_test_max_spikes,memory_requests_total_delta,memory_requests_total_amplification_ratio,memory_requests_total_delta_ratio,memory_requests_per_completed_step_delta,memory_requests_per_completed_step_amplification_ratio,memory_requests_per_completed_step_delta_ratio,stall_on_step_gate_cycles_total_delta,stall_on_step_gate_cycles_total_amplification_ratio,stall_on_step_gate_cycles_total_delta_ratio,stall_on_step_gate_cycles_per_completed_step_delta,stall_on_step_gate_cycles_per_completed_step_amplification_ratio,stall_on_step_gate_cycles_per_completed_step_delta_ratio,synapse_gather_demands_delta,synapse_gather_demands_amplification_ratio,synapse_gather_demands_delta_ratio,stream_region_demands_delta,stream_region_demands_amplification_ratio,stream_region_demands_delta_ratio,writeback_region_demands_delta,writeback_region_demands_amplification_ratio,writeback_region_demands_delta_ratio,router_bundle_v3_rx_total_delta,router_bundle_v3_rx_total_amplification_ratio,router_bundle_v3_rx_total_delta_ratio,tx_bundle_v3_packets_total_delta,tx_bundle_v3_packets_total_amplification_ratio,tx_bundle_v3_packets_total_delta_ratio,tx_spikekey_v4_packets_total_delta,tx_spikekey_v4_packets_total_amplification_ratio,tx_spikekey_v4_packets_total_delta_ratio,gas_scatter_spikes_emitted_total_delta,gas_scatter_spikes_emitted_total_amplification_ratio,gas_scatter_spikes_emitted_total_delta_ratio
4,10us,full_3d_snn_window,direct_v4_hbm,task_fixed_step_4_10us,task_fixed_step_4_10us_sp64,default,sp64,8,64,0,1.0,0.0,0.0,1.0,0.0,0,1.0,0.0,0.0,1.0,0.0,0,1.0,0.0,0,1.0,0.0,0,1.0,0.0,0,,,0,,,2128,6.846153846153846,5.846153846153846,0,1.0,0.0
4,10us,full_3d_snn_window_bundle_v3,bundle_v3_hbm,task_fixed_step_4_10us,task_fixed_step_4_10us_sp64,default,sp64,8,64,260,1.2549019607843137,0.2549019607843137,65.0,1.2549019607843137,0.2549019607843137,19303,1.1812726555603554,0.18127265556035535,4825.75,1.1812726555603554,0.18127265556035535,44,1.1594202898550725,0.15942028985507245,68,1.2463768115942029,0.2463768115942029,40,1.4166666666666667,0.4166666666666667,1285,5.98062015503876,4.98062015503876,458,6.204545454545454,5.204545454545454,0,,,40,1.4166666666666667,0.4166666666666667
4,10us,full_3d_snn_window_monolithic_proxy,direct_v4_monolithic,task_fixed_step_4_10us,task_fixed_step_4_10us_sp64,default,sp64,8,64,0,1.0,0.0,0.0,1.0,0.0,0,1.0,0.0,0.0,1.0,0.0,0,1.0,0.0,0,1.0,0.0,0,1.0,0.0,0,,,0,,,2128,6.846153846153846,5.846153846153846,0,1.0,0.0
8,20us,full_3d_snn_window,direct_v4_hbm,task_fixed_step_8_20us,task_fixed_step_8_20us_sp64,default,sp64,8,64,0,1.0,0.0,0.0,1.0,0.0,0,1.0,0.0,0.0,1.0,0.0,0,1.0,0.0,0,1.0,0.0,0,1.0,0.0,0,,,0,,,2128,6.846153846153846,5.846153846153846,0,1.0,0.0
8,20us,full_3d_snn_window_bundle_v3,bundle_v3_hbm,task_fixed_step_8_20us,task_fixed_step_8_20us_sp64,default,sp64,8,64,284,1.2784313725490195,0.2784313725490196,35.5,1.2784313725490195,0.2784313725490196,71279,1.6677690131344738,0.6677690131344738,8909.875,1.6677690131344738,0.6677690131344738,68,1.2463768115942029,0.2463768115942029,68,1.2463768115942029,0.2463768115942029,40,1.4166666666666667,0.4166666666666667,1285,5.98062015503876,4.98062015503876,458,6.204545454545454,5.204545454545454,0,,,40,1.4166666666666667,0.4166666666666667
8,20us,full_3d_snn_window_monolithic_proxy,direct_v4_monolithic,task_fixed_step_8_20us,task_fixed_step_8_20us_sp64,default,sp64,8,64,0,1.0,0.0,0.0,1.0,0.0,0,1.0,0.0,0.0,1.0,0.0,0,1.0,0.0,0,1.0,0.0,0,1.0,0.0,0,,,0,,,2128,6.846153846153846,5.846153846153846,0,1.0,0.0
16,40us,full_3d_snn_window,direct_v4_hbm,task_fixed_step_16_40us,task_fixed_step_16_40us_sp64,default,sp64,8,64,0,1.0,0.0,0.0,1.0,0.0,0,1.0,0.0,0.0,1.0,0.0,0,1.0,0.0,0,1.0,0.0,0,1.0,0.0,0,,,0,,,2128,6.846153846153846,5.846153846153846,0,1.0,0.0
16,40us,full_3d_snn_window_bundle_v3,bundle_v3_hbm,task_fixed_step_16_40us,task_fixed_step_16_40us_sp64,default,sp64,8,64,284,1.2784313725490195,0.2784313725490196,17.75,1.2784313725490195,0.2784313725490196,71279,1.664581274358066,0.6645812743580659,4454.9375,1.664581274358066,0.6645812743580659,68,1.2463768115942029,0.2463768115942029,68,1.2463768115942029,0.2463768115942029,40,1.4166666666666667,0.4166666666666667,1285,5.98062015503876,4.98062015503876,458,6.204545454545454,5.204545454545454,0,,,40,1.4166666666666667,0.4166666666666667
16,40us,full_3d_snn_window_monolithic_proxy,direct_v4_monolithic,task_fixed_step_16_40us,task_fixed_step_16_40us_sp64,default,sp64,8,64,0,1.0,0.0,0.0,1.0,0.0,0,1.0,0.0,0.0,1.0,0.0,0,1.0,0.0,0,1.0,0.0,0,1.0,0.0,0,,,0,,,2128,6.846153846153846,5.846153846153846,0,1.0,0.0
