case_id,case_label,run_tag,memory_model_family,memory_graph_type,home_stack_path_authority,home_stack_controller_pressure_authority,dominant_home_controller_ids,dominant_home_access_class,dominant_home_stack_id,dominant_dataflow_initiator_kind,dataflow_controller_alignment_kind,runtime_pressure_transfer_kind,tier_local_home_total_demands,same_xy_cross_tier_total_demands,remote_home_total_demands,tier_local_home_service_deficit_attribution,same_xy_cross_tier_service_deficit_attribution,remote_home_service_deficit_attribution,pe_nic_home_stack_demands_total,pe_nic_home_stack_service_deficit_total,synapse_home_stack_demands_total,synapse_home_stack_service_deficit_total,active_stack_utilization,most_pressured_stack_id,most_pressured_stack_service_deficit,most_pressured_controller_service_deficit_proxy,stack_memory_request_skew,stack_service_deficit_skew,memory_requests_total,vertical_hops_ratio,remote_home_ratio
full_3d,Full 3D,window_runtime_codesign_refresh_20260402_rerun,hbm_like,memHierarchy_shared_stack,real_home_stack_binding,runtime_controller,"0,1,2,3",remote_home,0,pe_nic_to_home_stack,runtime_class_unresolved,runtime_class_unresolved,512,512,1024,264.0,264.0,528.0,2048,1028,1024,509,1.0,1,397,99.25,1.0104302477183833,1.033181522446324,3068,0.7457627118644068,0.5
full_3d_monolithic_proxy,Full 3D + Monolithic Proxy,window_runtime_codesign_refresh_20260402_rerun,monolithic_like,memHierarchy_tier_local_stack,real_home_stack_binding,runtime_controller,"8,9",same_xy_cross_tier,4,pe_nic_to_home_stack,cross_class_transfer,cross_class_transfer,512,1344,192,0.0,0.0,0.0,2048,0,1024,0,1.0,0,0,0.0,1.0,0.0,6144,0.0,0.0
