run_tag,step_budget,stop_at,spike_budget_label,spike_budget_override,case_id,case_label,memory_kind,memory_model_family,memory_graph_type,test_max_spikes,global_step_ctrl_max_steps,steps_completed,memory_requests_total,memory_requests_per_completed_step,stall_on_step_gate_cycles_total,stall_on_step_gate_cycles_per_completed_step,synapse_gather_demands,stream_region_demands,writeback_region_demands,router_bundle_v3_rx_total,tx_bundle_v3_packets_total,tx_spikekey_v4_packets_total,gas_scatter_spikes_emitted_total,compare_surface,total_service_deficit,most_pressured_region,dominant_home_access_class,dominant_home_stack_id,dominant_home_controller_ids,dominant_home_controller_count,most_pressured_controller_count,most_pressured_controller_service_deficit_proxy,controller_runtime_source,real_controller_pressure_available,most_pressured_runtime_stack_id,most_pressured_runtime_controller_id,tier_local_home_dominant_controller_ids,tier_local_home_dominant_controller_count,tier_local_home_dominant_stack_demand_share,same_xy_cross_tier_dominant_controller_ids,same_xy_cross_tier_dominant_controller_count,same_xy_cross_tier_dominant_stack_demand_share,remote_home_dominant_controller_ids,remote_home_dominant_controller_count,remote_home_dominant_stack_demand_share,active_controller_count,max_controller_outstanding_requests_accum,max_controller_cycles_attempted_issue_but_rejected,controller_runtime_total_requests_received,controller_runtime_total_cycles_attempted_issue_but_rejected,home_stack_dataflow_available,dominant_dataflow_initiator_kind,dominant_dataflow_region,pe_nic_home_stack_demands_total,pe_nic_home_stack_service_deficit_total,pe_nic_home_stack_dominant_region,synapse_home_stack_demands_total,synapse_home_stack_service_deficit_total,synapse_home_stack_dominant_region,dataflow_controller_alignment_kind,dataflow_runtime_home_access_class,pe_nic_dominant_stack_id,pe_nic_dominant_stack_demand_share,pe_nic_dominant_stack_service_deficit_proxy,pe_nic_dominant_controller_ids,pe_nic_dominant_controller_count,pe_nic_runtime_hotspot_stack_overlap,synapse_dominant_stack_id,synapse_dominant_stack_demand_share,synapse_dominant_stack_service_deficit_proxy,synapse_dominant_controller_ids,synapse_dominant_controller_count,synapse_runtime_hotspot_stack_overlap,pe_nic_controller_pressure_available,pe_nic_dominant_controller_requests_received_total,pe_nic_dominant_controller_outstanding_requests_accum,pe_nic_dominant_controller_cycles_attempted_issue_but_rejected,pe_nic_dominant_controller_max_issue_reject_ratio,synapse_controller_pressure_available,synapse_dominant_controller_requests_received_total,synapse_dominant_controller_outstanding_requests_accum,synapse_dominant_controller_cycles_attempted_issue_but_rejected,synapse_dominant_controller_max_issue_reject_ratio,pe_nic_real_home_path_available,pe_nic_real_home_path_signature,pe_nic_real_home_path_demand_total,pe_nic_real_home_path_issued_total,pe_nic_real_home_path_service_deficit_total,pe_nic_real_home_path_issue_efficiency,pe_nic_real_home_path_dominant_stage,synapse_real_home_path_available,synapse_real_home_path_signature,synapse_real_home_path_demand_total,synapse_real_home_path_issued_total,synapse_real_home_path_service_deficit_total,synapse_real_home_path_issue_efficiency,synapse_real_home_path_dominant_stage,real_synapse_source_count,semantic_addressing_enabled,traffic_runtime_enabled,home_access_pressure_enabled,home_stack_controller_proxy_available,real_controller_pressure_available_from_summary,processing_runtime_mode,dominant_pressure_region,real_home_traffic_signal_level,real_home_traffic_signal_rank,real_home_traffic_ready,runtime_alignment_evaluable,dominant_home_runtime_controller_overlap,dominant_home_runtime_overlap_controller_id,same_stack_overlap,same_stack_overlap_stack_id,same_controller_overlap,same_controller_overlap_controller_id,runtime_controller_home_access_class,same_class_overlap,same_class_overlap_class,home_region_joint_attribution,tier_local_home_runtime_controller_overlap,tier_local_home_runtime_overlap_controller_id,same_xy_cross_tier_runtime_controller_overlap,same_xy_cross_tier_runtime_overlap_controller_id,remote_home_runtime_controller_overlap,remote_home_runtime_overlap_controller_id,runtime_pressure_transfer_kind
matrix23_phase2_mainline_runtime_fixed_step_4_2us,4,2us,default,0,full_3d_snn_window,direct_v4_hbm,hbm_like,hbm_like,memHierarchy_shared_stack,8,4,1,234,234.0,28324,28324.0,64,64,24,0,0,334,24,"{'case_id': 'full_3d_snn_window', 'case_label': 'direct_v4_hbm', 'run_tag': 'matrix23_phase2_mainline_runtime_fixed_step_4_2us', 'case_role': 'fixed_step_window', 'control_mode': 'fixed_step_budget', 'runtime_enabled': False, 'workload_impl': 'snn', 'memory_kind': 'hbm_like', 'memory_model_family': 'hbm_like', 'memory_graph_type': 'memHierarchy_shared_stack', 'step_budget': 4, 'stop_at': '2us', 'spike_budget_label': 'default'}",0,metadata_lookup,tier_local_home,0,"0,1,2,3",4,4,0.0,controller_summary,True,3,12,"0,1,2,3",4,0.25,"12,13,14,15",4,0.2857142857142857,"12,13,14,15",4,0.6666666666666666,16,227669,1644,6252,26196,True,pe_nic_to_home_stack,stream_region,88,0,stream_region,64,0,synapse_gather,cross_class_transfer,same_xy_cross_tier,3,0.26785714285714285,0.0,"12,13,14,15",4,True,3,0.3125,0.0,"12,13,14,15",4,True,True,1567,861572,6549,0.822,True,1567,861572,6549,0.822,True,stream_region->writeback_region,26,26,0,1.0,stream_region,True,synapse_gather,20,20,0,1.0,synapse_gather,32,True,True,True,True,True,mixed,metadata_lookup,runtime_controller,5,True,True,False,-1,False,-1,False,-1,same_xy_cross_tier,False,,tier_local_home:metadata_lookup,False,-1,True,12,True,12,cross_class_transfer
matrix23_phase2_mainline_runtime_fixed_step_4_2us,4,2us,default,0,full_3d_snn_window_bundle_v3,bundle_v3_hbm,hbm_like,hbm_like,memHierarchy_shared_stack,8,4,1,912,912.0,34852,34852.0,276,256,96,258,88,0,96,"{'case_id': 'full_3d_snn_window_bundle_v3', 'case_label': 'bundle_v3_hbm', 'run_tag': 'matrix23_phase2_mainline_runtime_fixed_step_4_2us', 'case_role': 'fixed_step_window', 'control_mode': 'fixed_step_budget', 'runtime_enabled': False, 'workload_impl': 'snn', 'memory_kind': 'hbm_like', 'memory_model_family': 'hbm_like', 'memory_graph_type': 'memHierarchy_shared_stack', 'step_budget': 4, 'stop_at': '2us', 'spike_budget_label': 'default'}",8,stream_region,tier_local_home,0,"0,1,2,3",4,4,2.0,controller_summary,True,2,8,"0,1,2,3",4,0.25,"12,13,14,15",4,0.2857142857142857,"12,13,14,15",4,0.6666666666666666,16,194169,1372,6507,21844,True,pe_nic_to_home_stack,stream_region,352,8,stream_region,276,0,synapse_gather,runtime_class_unresolved,,3,0.26718582169709987,2.137486573576799,"12,13,14,15",4,False,3,0.2898550724637681,0.0,"12,13,14,15",4,False,True,1636,705751,5461,0.686,True,1636,705751,5461,0.686,True,stream_region->writeback_region,104,96,8,0.9230769230769231,stream_region,True,synapse_gather,80,80,0,1.0,synapse_gather,32,True,True,True,True,True,mixed,stream_region,runtime_controller,5,True,True,False,-1,False,-1,False,-1,,False,,tier_local_home:stream_region,False,-1,False,-1,False,-1,runtime_class_unresolved
matrix23_phase2_mainline_runtime_fixed_step_4_2us,4,2us,default,0,full_3d_snn_window_monolithic_proxy,direct_v4_monolithic,monolithic_like,monolithic_like,memHierarchy_tier_local_stack,8,4,4,416,104.0,11232,2808.0,64,128,48,0,0,364,48,"{'case_id': 'full_3d_snn_window_monolithic_proxy', 'case_label': 'direct_v4_monolithic', 'run_tag': 'matrix23_phase2_mainline_runtime_fixed_step_4_2us', 'case_role': 'fixed_step_window', 'control_mode': 'fixed_step_budget', 'runtime_enabled': False, 'workload_impl': 'snn', 'memory_kind': 'monolithic_like', 'memory_model_family': 'monolithic_like', 'memory_graph_type': 'memHierarchy_tier_local_stack', 'step_budget': 4, 'stop_at': '2us', 'spike_budget_label': 'default'}",0,metadata_lookup,tier_local_home,0,"0,1",2,2,0.0,controller_summary,True,3,6,"0,1",2,0.25,"8,9",2,0.25,"6,7",2,0.25,16,100523,0,15560,0,True,pe_nic_to_home_stack,stream_region,176,0,stream_region,64,0,synapse_gather,cross_class_transfer,remote_home,3,0.25,0.0,"6,7",2,True,3,0.15625,0.0,"6,7",2,True,True,1949,200573,0,0.0,True,1949,200573,0,0.0,True,stream_region->writeback_region,26,26,0,1.0,stream_region,True,synapse_gather,10,10,0,1.0,synapse_gather,32,True,True,True,True,True,mixed,metadata_lookup,runtime_controller,5,True,True,False,-1,False,-1,False,-1,remote_home,False,,tier_local_home:metadata_lookup,False,-1,False,-1,True,6,cross_class_transfer
