stop_at,run_tag,status,memory_requests_total,stream_region_demands,stream_region_issued,stream_region_backlog,stream_region_issue_efficiency,writeback_region_demands,writeback_region_issued,writeback_region_backlog,writeback_region_issue_efficiency,total_service_deficit,most_pressured_region,stream_region_bytes_written_total,stream_region_bytes_read_total,writeback_region_bytes_written_total,writeback_region_bytes_read_total
2us,controller_runtime_refresh_20260322_monolithic_stop_sweep_2us,smoke_passed,416,128,128,0,1.0,48,48,0,1.0,0,metadata_lookup,8192,8192,3072,3072
10us,controller_runtime_refresh_20260322_monolithic_stop_sweep_10us,smoke_passed,416,128,128,0,1.0,48,48,0,1.0,0,metadata_lookup,8192,8192,3072,3072
20us,controller_runtime_refresh_20260322_monolithic_stop_sweep_20us,smoke_passed,416,128,128,0,1.0,48,48,0,1.0,0,metadata_lookup,8192,8192,3072,3072
