case_id,case_label,run_tag,mesh_shape,noc_component,memory_kind,memory_model_family,status,mapping_policy,mapping_score,same_home_stack_ratio,vertical_target_ratio,vertical_hops_ratio,remote_home_ratio,route_memory_overlap,vertical_link_pressure,thermal_hotspot_score,stack_hotspot_penalty,vertical_bandwidth_budget,tsv_miv_budget_pressure,power_density_score,reliability_penalty,runtime_policy,runtime_signal_source,remap_epoch,homeroute_adjustment_count,thermal_guard_actions,memory_requests_total,tx_packets_total,rx_packets_total,memory_probe_rows_total
full_3d,Full 3D,perf_10us_route_refresh_v2,4x4x2,SnnDL.MulticastRouter3DNative,hbm_like,hbm_like,smoke_passed,z_blind,-0.75,0.5,0.0,0.4481991834354039,0.5,1.0,0.19222987751531057,1.236120195640077,0.0215302491103202,2.0,0.09611493875765528,1.7960515762974811,0.41108642565057696,disabled,disabled,0,0,0,27432,17528,20032,4
full_3d_monolithic_proxy,Full 3D + Monolithic Proxy,perf_10us,4x4x2,SnnDL.MulticastRouter3DNative,monolithic_like,monolithic_like,smoke_passed,3d_aware,-0.46875,0.5,0.25,0.0,0.0,1.0,0.15,1.25,0.006830630905876989,3.5,0.05357142857142857,2.019373322349038,0.48818228077135284,disabled,disabled,0,0,0,79752,11894,20032,8
full_3d_tile_bundle_v3,Full 3D + Tile Bundle v3,perf_10us,4x4x2,SnnDL.MulticastRouter3DNative,hbm_like,hbm_like,smoke_passed,3d_aware,0.0234375,0.90625,0.40625,0.4481991834354039,0.5,1.0,0.4359798775153106,1.2332548142041104,0.0352872557596966,2.0,0.3065483513779528,1.8040824858887536,0.5304387119078132,adaptive_3d,joint_runtime,256,1,1,27432,0,20032,4
