stop_at,run_tag,status,memory_requests_total,stream_region_demands,stream_region_issued,stream_region_backlog,stream_region_issue_efficiency,writeback_region_demands,writeback_region_issued,writeback_region_backlog,writeback_region_issue_efficiency,total_service_deficit,most_pressured_region,stream_region_bytes_written_total,stream_region_bytes_read_total,writeback_region_bytes_written_total,writeback_region_bytes_read_total
2us,task_real_snn_window_direct_tail_probe_v0_2us,composed,0,0,0,0,0.0,0,0,0,0.0,0,,0,0,0,0
5us,task_real_snn_window_direct_tail_probe_v0_5us,composed,0,0,0,0,0.0,0,0,0,0.0,0,,0,0,0,0
10us,task_real_snn_window_direct_tail_probe_v0_10us,composed,0,0,0,0,0.0,0,0,0,0.0,0,,0,0,0,0
