row_family,workload_family,case_id,case_label,run_tag,memory_kind,memory_model_family,memory_graph_type,status,memory_requests_total,memory_requests_per_completed_step,stall_on_step_gate_cycles_total,stall_on_step_gate_cycles_per_completed_step,synapse_gather_demands,stream_region_demands,writeback_region_demands,router_bundle_v3_rx_total,tx_bundle_v3_packets_total,tx_spikekey_v4_packets_total,gas_scatter_spikes_emitted_total,total_service_deficit,vertical_hops_ratio,remote_home_ratio,direct_v4_share,tile_bundle_v3_share,vertical_link_pressure,reliability_penalty,most_pressured_region,compare_kind,base_case_id,compare_case_id,memory_requests_total_delta,total_service_deficit_delta,direct_v4_share_delta,tile_bundle_v3_share_delta,attributed_service_deficit_total_delta,base_memory_requests_total,compare_memory_requests_total,base_total_service_deficit,compare_total_service_deficit,base_most_pressured_region,compare_most_pressured_region,vertical_link_pressure_delta,reliability_penalty_delta,base_vertical_link_pressure,compare_vertical_link_pressure,base_reliability_penalty,compare_reliability_penalty,step_budget,stop_at,spike_budget_label,spike_budget_override,test_max_spikes,global_step_ctrl_max_steps,steps_completed,base_test_max_spikes,compare_test_max_spikes,memory_requests_total_amplification_ratio,memory_requests_total_delta_ratio,memory_requests_per_completed_step_delta,memory_requests_per_completed_step_amplification_ratio,memory_requests_per_completed_step_delta_ratio,stall_on_step_gate_cycles_total_delta,stall_on_step_gate_cycles_total_amplification_ratio,stall_on_step_gate_cycles_total_delta_ratio,stall_on_step_gate_cycles_per_completed_step_delta,stall_on_step_gate_cycles_per_completed_step_amplification_ratio,stall_on_step_gate_cycles_per_completed_step_delta_ratio,synapse_gather_demands_delta,synapse_gather_demands_amplification_ratio,synapse_gather_demands_delta_ratio,stream_region_demands_delta,stream_region_demands_amplification_ratio,stream_region_demands_delta_ratio,writeback_region_demands_delta,writeback_region_demands_amplification_ratio,writeback_region_demands_delta_ratio,router_bundle_v3_rx_total_delta,router_bundle_v3_rx_total_amplification_ratio,router_bundle_v3_rx_total_delta_ratio,tx_bundle_v3_packets_total_delta,tx_bundle_v3_packets_total_amplification_ratio,tx_bundle_v3_packets_total_delta_ratio,tx_spikekey_v4_packets_total_delta,tx_spikekey_v4_packets_total_amplification_ratio,tx_spikekey_v4_packets_total_delta_ratio,gas_scatter_spikes_emitted_total_delta,gas_scatter_spikes_emitted_total_amplification_ratio,gas_scatter_spikes_emitted_total_delta_ratio,base_run_tag,compare_run_tag,base_spike_budget_label,compare_spike_budget_label,mapping_score_delta,same_home_stack_ratio_delta,vertical_target_ratio_delta,vertical_hops_ratio_delta,remote_home_ratio_delta,route_memory_overlap_delta,thermal_hotspot_score_delta,stack_hotspot_penalty_delta,vertical_bandwidth_budget_delta,tsv_miv_budget_pressure_delta,power_density_score_delta,remap_epoch_delta,homeroute_adjustment_count_delta,thermal_guard_actions_delta,hotspot_threshold_c,hotspot_threshold_source,case_count
window_baseline,snn_window,full_3d_snn_window_bundle_v3,bundle_v3_hbm,task_fixed_step_16_40us,hbm_like,hbm_like,memHierarchy_shared_stack,,1020,63.75,107254,6703.375,276,276,96,258,88,0,96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,40us,default,0,8,16,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
window_bundle_breakdown,snn_window,,,task_fixed_step_4_10us,,,,,,,,,,,,,,,,,,,,,,,,,full_3d_snn_window,full_3d_snn_window_bundle_v3,604,,,,,,,,,,,,,,,,,4,10us,default,,,,,8,8,2.451923076923077,1.4519230769230769,151.0,2.451923076923077,1.4519230769230769,508,1.0047934476966918,0.004793447696691766,127.0,1.0047934476966918,0.004793447696691766,212,4.3125,3.3125,148,2.15625,1.15625,48,2.0,1.0,258,,,88,,,-364,0.0,-1.0,48,2.0,1.0,,,,,,,,,,,,,,,,,,,,,
window_bundle_breakdown,snn_window,,,task_fixed_step_4_10us_sp64,,,,,,,,,,,,,,,,,,,,,,,,,full_3d_snn_window,full_3d_snn_window_bundle_v3,864,,,,,,,,,,,,,,,,,4,10us,sp64,,,,,64,64,3.076923076923077,2.076923076923077,216.0,3.076923076923077,2.076923076923077,19811,1.186935024250316,0.1869350242503161,4952.75,1.186935024250316,0.1869350242503161,256,5.0,4.0,216,2.6875,1.6875,88,2.8333333333333335,1.8333333333333333,1543,,,546,,,-2492,0.0,-1.0,88,2.8333333333333335,1.8333333333333333,,,,,,,,,,,,,,,,,,,,,
window_bundle_breakdown,snn_window,,,task_fixed_step_8_20us,,,,,,,,,,,,,,,,,,,,,,,,,full_3d_snn_window,full_3d_snn_window_bundle_v3,604,,,,,,,,,,,,,,,,,8,20us,default,,,,,8,8,2.451923076923077,1.4519230769230769,75.5,2.451923076923077,1.4519230769230769,-31888,0.7699776383178244,-0.23002236168217557,-3986.0,0.7699776383178244,-0.23002236168217557,212,4.3125,3.3125,148,2.15625,1.15625,48,2.0,1.0,258,,,88,,,-364,0.0,-1.0,48,2.0,1.0,,,,,,,,,,,,,,,,,,,,,
window_bundle_breakdown,snn_window,,,task_fixed_step_8_20us_sp64,,,,,,,,,,,,,,,,,,,,,,,,,full_3d_snn_window,full_3d_snn_window_bundle_v3,888,,,,,,,,,,,,,,,,,8,20us,sp64,,,,,64,64,3.1346153846153846,2.1346153846153846,111.0,3.1346153846153846,2.1346153846153846,39391,1.2841448459929308,0.28414484599293083,4923.875,1.2841448459929308,0.28414484599293083,280,5.375,4.375,216,2.6875,1.6875,88,2.8333333333333335,1.8333333333333333,1543,,,546,,,-2492,0.0,-1.0,88,2.8333333333333335,1.8333333333333333,,,,,,,,,,,,,,,,,,,,,
window_bundle_breakdown,snn_window,,,task_fixed_step_16_40us,,,,,,,,,,,,,,,,,,,,,,,,,full_3d_snn_window,full_3d_snn_window_bundle_v3,604,,,,,,,,,,,,,,,,,16,40us,default,,,,,8,8,2.451923076923077,1.4519230769230769,37.75,2.451923076923077,1.4519230769230769,-31888,0.7708240502508229,-0.2291759497491771,-1993.0,0.7708240502508229,-0.2291759497491771,212,4.3125,3.3125,148,2.15625,1.15625,48,2.0,1.0,258,,,88,,,-364,0.0,-1.0,48,2.0,1.0,,,,,,,,,,,,,,,,,,,,,
window_bundle_breakdown,snn_window,,,task_fixed_step_16_40us_sp64,,,,,,,,,,,,,,,,,,,,,,,,,full_3d_snn_window,full_3d_snn_window_bundle_v3,888,,,,,,,,,,,,,,,,,16,40us,sp64,,,,,64,64,3.1346153846153846,2.1346153846153846,55.5,3.1346153846153846,2.1346153846153846,39391,1.2830992798723606,0.2830992798723606,2461.9375,1.2830992798723606,0.2830992798723606,280,5.375,4.375,216,2.6875,1.6875,88,2.8333333333333335,1.8333333333333333,1543,,,546,,,-2492,0.0,-1.0,88,2.8333333333333335,1.8333333333333333,,,,,,,,,,,,,,,,,,,,,
window_memory_model_breakdown,snn_window,,,,,,,,,,,,,,,,,,,,,,,,,,,,full_3d_snn_window,full_3d_snn_window_monolithic_proxy,0,,,,,,,,,,,,,,,,,4,10us,default,,,,,8,8,1.0,0.0,0.0,1.0,0.0,-94746,0.10598426088433449,-0.8940157391156656,-23686.5,0.10598426088433449,-0.8940157391156656,0,1.0,0.0,0,1.0,0.0,0,1.0,0.0,0,,,0,,,0,1.0,0.0,0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,
window_memory_model_breakdown,snn_window,,,,,,,,,,,,,,,,,,,,,,,,,,,,full_3d_snn_window,full_3d_snn_window_monolithic_proxy,0,,,,,,,,,,,,,,,,,4,10us,sp64,,,,,64,64,1.0,0.0,0.0,1.0,0.0,-94746,0.10598426088433449,-0.8940157391156656,-23686.5,0.10598426088433449,-0.8940157391156656,0,1.0,0.0,0,1.0,0.0,0,1.0,0.0,0,,,0,,,0,1.0,0.0,0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,
window_memory_model_breakdown,snn_window,,,,,,,,,,,,,,,,,,,,,,,,,,,,full_3d_snn_window,full_3d_snn_window_monolithic_proxy,0,,,,,,,,,,,,,,,,,8,20us,default,,,,,8,8,1.0,0.0,0.0,1.0,0.0,-124206,0.10404674312919282,-0.8959532568708072,-15525.75,0.10404674312919282,-0.8959532568708072,0,1.0,0.0,0,1.0,0.0,0,1.0,0.0,0,,,0,,,0,1.0,0.0,0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,
