matrix_group,compare_kind,run_tag,row_family,base_case_id,compare_case_id,progression_signature,window_route_anchor_axis,runtime_compare_anchor_axis,dominant_endpoint_pressure_side,pe_nic_pressure_score,synapse_pressure_score,dominant_memory_axis,dominant_memory_axis_raw_value,dominant_memory_axis_score,dominant_backlog_region,dominant_home_access_class,dataflow_controller_alignment_transition,same_controller_overlap_delta,same_stack_overlap_delta,joint_interpretation
,traffic_mem_bundle_vs_direct,balanced_20us,route_memory_joint_pressure,full_3d,full_3d_tile_bundle_v3,step_gate_stall -> controller_outstanding -> thermal_guard_actions,step_gate_stall,thermal_guard_actions,pe_nic,9671,8066,service_deficit,4046.0,4046.0,synapse_gather,same_xy_cross_tier,alignment_improved,0,0,"traffic_mem_bundle_vs_direct is dominated by pe_nic endpoint pressure, service_deficit on the memory side, backlog centered on synapse_gather, home-access=same_xy_cross_tier, and same-controller overlap stays flat."
,traffic_mem_monolithic_vs_hbm,balanced_20us,route_memory_joint_pressure,full_3d,full_3d_monolithic_proxy,step_gate_stall -> controller_outstanding -> thermal_guard_actions,step_gate_stall,thermal_guard_actions,pe_nic,2881,2809,reliability_penalty,0.4886131183991106,4886.131183991106,unavailable,same_xy_cross_tier,alignment_improved,0,0,"traffic_mem_monolithic_vs_hbm is dominated by pe_nic endpoint pressure, reliability_penalty on the memory side, backlog centered on unavailable, home-access=same_xy_cross_tier, and same-controller overlap stays flat."
