case_id,case_label,run_tag,memory_model_family,memory_graph_type,dominant_home_access_class,dominant_home_stack_id,tier_local_home_total_demands,same_xy_cross_tier_total_demands,remote_home_total_demands,tier_local_home_service_deficit_attribution,same_xy_cross_tier_service_deficit_attribution,remote_home_service_deficit_attribution,active_stack_utilization,most_pressured_stack_id,most_pressured_stack_service_deficit,most_pressured_controller_service_deficit_proxy,stack_memory_request_skew,stack_service_deficit_skew,memory_requests_total,vertical_hops_ratio,remote_home_ratio
full_3d,Full 3D,balanced_20us,hbm_like,memHierarchy_shared_stack,,-1,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,39936,0.0,0.0
full_3d_monolithic_proxy,Full 3D + Monolithic Proxy,task20_monolithic_proxy_runtime_smoke_v3,monolithic_like,memHierarchy_tier_local_stack,same_xy_cross_tier,-1,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1752,0.0,0.0
