matrix_group,compare_kind,run_tag,row_family,base_case_id,compare_case_id,progression_signature,window_route_anchor_axis,runtime_compare_anchor_axis,dominant_endpoint_pressure_side,pe_nic_pressure_score,synapse_pressure_score,dominant_memory_axis,dominant_memory_axis_raw_value,dominant_memory_axis_score,dominant_backlog_region,dominant_home_access_class,dataflow_controller_alignment_transition,same_controller_overlap_delta,same_stack_overlap_delta,joint_interpretation
,traffic_mem_bundle_vs_direct,codesign_single_20us_20260322,route_memory_joint_pressure,full_3d,full_3d_tile_bundle_v3,step_gate_stall -> controller_outstanding -> thermal_guard_actions,step_gate_stall,thermal_guard_actions,pe_nic,175457,86512,controller_service_deficit_proxy,13003.5,1300350.0,synapse_gather,same_xy_cross_tier,stable,0,0,"traffic_mem_bundle_vs_direct is dominated by pe_nic endpoint pressure, controller_service_deficit_proxy on the memory side, backlog centered on synapse_gather, home-access=same_xy_cross_tier, and same-controller overlap stays flat."
,traffic_mem_monolithic_vs_hbm,codesign_single_20us_20260322,route_memory_joint_pressure,full_3d_snn_window,full_3d_snn_window_monolithic_proxy,step_gate_stall -> controller_outstanding -> thermal_guard_actions,step_gate_stall,thermal_guard_actions,unavailable,0,0,vertical_link_pressure,0.29375000000000007,2937.5000000000005,unavailable,tier_local_home,unevaluable,0,0,"traffic_mem_monolithic_vs_hbm is dominated by unavailable endpoint pressure, vertical_link_pressure on the memory side, backlog centered on unavailable, home-access=tier_local_home, and same-controller overlap stays flat."
