run_tag,step_budget,stop_at,spike_budget_label,spike_budget_override,case_id,status,run_root,analysis_root,phase2_case_summary_path,effective_config_path,stack_nmc_summary_path,route_memory_joint_summary_path,runtime_summary_path
matrix23_runtime_fixed_step_4_2us,4,2us,default,0,full_3d_snn_window,smoke_passed,/home/xgy/remote/snn3dexp/runs/full_3d_snn_window/matrix23_runtime_fixed_step_4_2us,/home/xgy/remote/snn3dexp/analysis/full_3d_snn_window/matrix23_runtime_fixed_step_4_2us,/home/xgy/remote/snn3dexp/analysis/full_3d_snn_window/matrix23_runtime_fixed_step_4_2us/phase2_case_summary.json,,/home/xgy/remote/snn3dexp/analysis/full_3d_snn_window/matrix23_runtime_fixed_step_4_2us/stack_nmc_summary.json,/home/xgy/remote/snn3dexp/analysis/full_3d_snn_window/matrix23_runtime_fixed_step_4_2us/route_memory_joint_summary.json,/home/xgy/remote/snn3dexp/analysis/full_3d_snn_window/matrix23_runtime_fixed_step_4_2us/runtime_summary.json
matrix23_runtime_fixed_step_4_2us,4,2us,default,0,full_3d_snn_window_bundle_v3,smoke_passed,/home/xgy/remote/snn3dexp/runs/full_3d_snn_window_bundle_v3/matrix23_runtime_fixed_step_4_2us,/home/xgy/remote/snn3dexp/analysis/full_3d_snn_window_bundle_v3/matrix23_runtime_fixed_step_4_2us,/home/xgy/remote/snn3dexp/analysis/full_3d_snn_window_bundle_v3/matrix23_runtime_fixed_step_4_2us/phase2_case_summary.json,,/home/xgy/remote/snn3dexp/analysis/full_3d_snn_window_bundle_v3/matrix23_runtime_fixed_step_4_2us/stack_nmc_summary.json,/home/xgy/remote/snn3dexp/analysis/full_3d_snn_window_bundle_v3/matrix23_runtime_fixed_step_4_2us/route_memory_joint_summary.json,/home/xgy/remote/snn3dexp/analysis/full_3d_snn_window_bundle_v3/matrix23_runtime_fixed_step_4_2us/runtime_summary.json
matrix23_runtime_fixed_step_4_2us,4,2us,default,0,full_3d_snn_window_monolithic_proxy,smoke_passed,/home/xgy/remote/snn3dexp/runs/full_3d_snn_window_monolithic_proxy/matrix23_runtime_fixed_step_4_2us,/home/xgy/remote/snn3dexp/analysis/full_3d_snn_window_monolithic_proxy/matrix23_runtime_fixed_step_4_2us,/home/xgy/remote/snn3dexp/analysis/full_3d_snn_window_monolithic_proxy/matrix23_runtime_fixed_step_4_2us/phase2_case_summary.json,,/home/xgy/remote/snn3dexp/analysis/full_3d_snn_window_monolithic_proxy/matrix23_runtime_fixed_step_4_2us/stack_nmc_summary.json,/home/xgy/remote/snn3dexp/analysis/full_3d_snn_window_monolithic_proxy/matrix23_runtime_fixed_step_4_2us/route_memory_joint_summary.json,/home/xgy/remote/snn3dexp/analysis/full_3d_snn_window_monolithic_proxy/matrix23_runtime_fixed_step_4_2us/runtime_summary.json
